"Popolazione per età, vista per singola area - Comune: 018023 - Bressana Bottarone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Bressana Bottarone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;25;24;22;39;26;21;21;37;28;40;36;34;32;29;20;27;26;19
1;22;29;24;29;38;26;24;24;39;27;37;35;32;37;31;22;23;25
2;20;24;31;23;26;39;28;25;24;35;23;44;33;31;35;28;23;23
3;19;22;23;33;22;31;39;33;24;22;34;22;43;38;29;33;24;23
4;20;23;25;24;38;26;30;41;34;24;22;34;25;40;32;26;30;25
5;26;21;19;28;25;36;30;38;41;35;24;21;33;27;41;30;25;31
6;21;24;23;19;29;24;36;30;39;39;34;27;22;32;31;42;33;29
7;16;23;23;28;20;28;22;36;28;38;40;34;28;21;32;31;38;30
8;31;17;23;23;29;22;27;24;36;28;36;40;33;31;20;31;28;39
9;35;28;18;24;24;27;20;26;24;37;28;36;41;33;30;19;31;28
10;14;35;29;24;25;22;28;23;29;27;33;30;36;39;35;29;19;33
11;25;13;35;33;24;21;22;29;25;29;28;33;30;33;36;34;33;22
12;23;25;15;38;35;24;24;26;28;27;29;30;34;31;30;36;33;34
13;24;22;24;15;37;34;24;27;26;29;28;30;29;37;31;28;34;33
14;35;24;25;25;16;38;36;27;25;27;33;29;28;28;37;30;28;36
15;26;32;23;25;26;15;36;36;26;25;27;36;29;27;24;35;32;29
16;23;27;33;22;26;28;18;39;36;29;26;26;36;31;28;24;31;32
17;18;22;28;36;23;26;30;17;39;38;31;25;26;33;29;29;23;33
18;25;18;27;31;36;23;26;28;16;37;37;30;24;25;32;26;26;22
19;19;27;19;29;29;33;24;28;28;17;40;38;29;29;26;31;25;28
20;25;20;27;17;31;29;34;28;32;33;20;40;36;32;31;27;33;25
21;30;24;23;34;20;32;33;35;30;34;34;19;40;37;30;31;28;33
22;17;34;25;26;33;21;38;29;36;29;35;40;20;40;35;32;35;29
23;35;19;33;23;27;37;30;40;27;37;30;38;37;17;39;38;31;33
24;39;37;22;32;25;30;38;30;40;35;37;30;42;38;19;39;41;30
25;45;43;42;25;37;30;33;38;34;39;33;39;30;42;35;19;41;41
26;42;47;46;49;26;36;36;36;39;32;37;36;34;28;39;37;19;40
27;57;48;47;51;54;25;39;33;41;37;32;38;32;39;34;38;36;21
28;45;57;48;51;52;45;23;45;36;40;36;33;37;29;36;32;36;36
29;47;48;65;50;46;52;38;27;48;39;39;36;33;40;26;38;29;37
30;44;46;48;72;49;53;49;42;29;47;36;37;33;37;38;27;42;30
31;42;51;48;54;77;53;51;60;48;30;53;36;32;37;37;29;30;43
32;45;42;54;52;56;79;50;60;63;52;28;54;34;30;39;34;31;30
33;41;44;41;56;52;51;77;52;61;59;56;29;53;35;24;32;35;30
34;50;41;47;44;57;54;52;77;52;59;54;56;36;52;29;25;30;37
35;59;48;39;54;50;54;49;49;70;50;58;56;58;35;55;32;26;33
36;43;59;46;44;51;51;56;52;51;67;52;57;56;58;36;59;35;26
37;62;47;61;48;42;55;53;64;52;51;69;51;58;57;56;35;53;37
38;38;61;53;63;48;50;53;55;59;52;54;72;50;56;55;55;33;54
39;68;37;67;55;65;45;59;54;55;59;55;54;74;48;56;57;51;35
40;44;68;38;67;54;66;45;57;51;54;58;52;55;70;49;55;54;56
41;47;48;72;39;66;58;68;49;54;51;57;57;48;55;69;53;59;52
42;55;48;53;76;43;63;62;68;46;51;56;54;59;49;61;68;55;56
43;36;53;50;58;76;45;68;62;64;46;51;54;54;54;50;62;65;54
44;53;35;56;50;63;73;46;67;66;60;47;49;56;55;57;52;59;65
45;32;53;37;57;53;60;71;43;68;70;60;48;53;54;51;58;54;58
46;41;30;51;41;60;54;61;69;45;65;70;59;46;55;55;49;57;51
47;42;41;29;52;44;59;53;59;67;45;65;71;61;45;56;56;49;57
48;31;40;41;30;50;43;59;53;61;69;44;69;70;64;44;55;53;46
49;44;34;40;43;29;50;45;62;51;62;68;44;69;68;63;52;54;52
50;50;47;37;42;46;29;51;44;62;47;65;68;44;67;67;62;51;52
51;42;52;47;36;45;45;30;47;43;61;48;66;68;47;65;63;62;52
52;47;43;54;47;36;45;48;33;49;40;61;48;65;70;49;63;63;62
53;48;46;46;56;49;36;47;50;33;52;40;59;47;66;66;47;64;66
54;44;49;49;45;56;48;36;50;49;31;52;39;58;48;65;66;45;62
55;48;46;51;46;45;55;45;36;49;48;32;53;40;58;47;64;65;46
56;28;49;47;55;48;42;53;47;34;47;46;31;52;41;58;44;64;61
57;40;29;50;46;52;52;46;53;49;35;45;46;30;52;41;59;44;60
58;38;41;30;51;47;52;52;44;53;50;32;47;47;32;51;44;57;47
59;49;37;42;34;52;49;53;49;45;53;52;32;48;52;32;50;45;58
60;35;49;38;42;34;51;47;50;50;42;52;50;32;47;50;33;50;47
61;67;33;50;38;42;32;52;47;48;49;43;53;47;33;46;51;37;46
62;46;66;33;51;37;40;31;52;46;49;50;42;54;46;34;46;49;37
63;47;48;63;32;50;37;40;26;49;46;47;50;43;55;45;34;46;45
64;39;45;51;61;29;51;37;41;25;49;46;46;51;44;54;44;35;44
65;47;40;46;49;60;28;53;37;43;24;49;46;46;52;45;53;42;35
66;33;48;38;46;50;60;28;50;38;42;25;48;46;47;52;42;51;41
67;45;34;44;37;44;48;61;26;51;39;43;27;48;44;47;51;42;48
68;40;47;34;47;36;43;50;61;26;50;37;43;27;48;43;48;52;38
69;38;39;49;33;46;35;44;49;60;26;45;35;39;27;49;43;49;52
70;27;38;41;51;31;46;35;47;49;59;27;46;36;38;27;48;44;46
71;40;28;36;40;50;31;43;34;51;46;58;29;46;34;38;28;51;43
72;31;38;28;35;39;47;31;43;32;49;45;56;29;45;34;37;28;47
73;43;31;40;29;34;40;44;29;43;33;47;44;53;27;44;33;35;27
74;37;40;28;37;29;32;40;42;29;40;32;44;44;53;27;43;33;35
75;32;32;39;29;35;29;32;38;40;28;38;34;43;44;54;25;41;34
76;31;32;33;42;26;34;26;32;37;40;28;37;34;42;44;54;24;43
77;28;32;32;30;43;26;29;21;26;34;38;27;37;35;41;43;50;26
78;21;25;31;29;27;42;26;27;21;24;32;34;25;36;32;41;41;49
79;26;17;22;29;27;25;41;25;27;19;23;32;33;25;34;30;38;39
80;22;23;14;21;28;26;25;41;23;27;18;19;28;32;25;34;29;38
81;25;21;21;13;23;28;26;23;38;22;25;16;17;26;31;24;33;28
82;11;26;21;18;12;22;25;27;22;37;19;24;16;16;25;29;23;33
83;10;10;19;19;13;11;22;24;24;21;30;15;25;13;15;24;27;22
84;9;8;9;15;16;14;13;18;21;22;20;26;15;24;12;17;23;24
85;6;8;7;8;14;16;14;13;16;20;18;19;23;14;23;11;17;21
86;15;6;8;6;6;15;14;13;12;14;19;16;17;21;10;22;9;15
87;21;14;5;6;5;4;15;11;11;10;12;18;14;16;21;8;19;9
88;12;18;10;4;6;4;5;13;8;8;9;12;15;12;13;22;7;13
89;9;10;14;9;3;3;5;4;12;10;5;7;6;13;12;13;17;6
90;12;6;9;12;5;2;2;6;4;10;9;4;6;5;11;12;11;17
91;7;9;6;7;9;5;2;3;5;3;9;7;3;5;4;8;10;9
92;4;7;6;6;6;10;6;2;3;2;3;7;7;2;4;4;5;8
93;9;3;6;6;5;4;9;5;2;2;2;1;7;4;2;4;4;2
94;2;5;1;5;6;5;1;6;5;1;1;1;1;6;4;1;3;4
95;2;0;4;0;3;6;3;1;5;4;1;0;1;1;3;3;1;3
96;2;0;0;4;0;2;3;3;0;3;3;1;0;0;0;2;4;2
97;1;1;0;0;2;0;2;3;0;0;3;1;1;0;0;0;2;2
98;0;1;1;0;0;0;0;2;3;0;0;1;1;0;0;0;0;2
99;1;0;1;1;0;0;0;0;2;3;0;0;1;1;0;0;0;0
100 e oltre;0;0;0;1;1;0;0;0;0;2;4;0;0;1;1;1;1;0
Totale;3133;3160;3229;3367;3398;3404;3457;3537;3544;3537;3538;3549;3535;3555;3510;3495;3462;3447
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;14;12;13;21;11;11;7;20;18;20;18;19;19;17;10;16;8;11
1;13;17;13;16;21;12;12;9;18;15;18;16;17;22;18;11;15;8
2;10;14;21;12;16;21;13;13;9;15;13;24;13;16;23;15;11;12
3;12;11;12;21;12;20;21;17;13;7;16;11;22;17;16;22;14;10
4;12;13;13;13;25;15;18;22;18;13;8;16;14;21;14;13;21;13
5;17;11;13;15;13;25;18;22;19;19;14;8;15;15;21;13;13;22
6;10;16;10;13;15;13;25;16;23;18;17;16;10;13;16;23;11;15
7;9;11;16;14;14;15;12;23;16;18;19;16;17;11;13;15;22;10
8;10;9;12;16;15;16;15;13;22;16;18;19;15;16;12;14;14;22
9;17;10;9;13;16;14;14;14;13;23;16;18;19;16;16;10;14;14
10;3;18;10;14;14;13;13;16;16;13;22;17;19;19;16;17;10;15
11;19;3;18;13;13;11;14;14;17;14;13;22;17;16;18;16;17;13
12;11;19;4;19;15;14;12;17;14;17;14;13;23;17;16;19;15;18
13;8;12;17;5;18;14;15;14;18;15;17;15;12;23;18;14;18;13
14;17;7;12;18;7;20;15;17;12;17;17;17;13;12;23;17;16;19
15;14;15;6;13;18;6;19;15;16;12;17;19;18;13;12;22;18;15
16;12;15;16;6;14;20;9;20;15;19;12;16;19;21;13;12;17;18
17;9;12;14;16;7;15;22;10;20;17;21;11;16;17;18;14;12;19
18;11;9;14;15;17;7;14;20;9;18;17;20;11;15;17;16;14;12
19;9;14;10;15;16;19;7;16;20;10;20;17;20;12;15;17;16;14
20;11;10;14;9;18;16;20;10;16;22;11;20;16;20;15;15;17;15
21;16;11;11;18;11;18;20;20;10;17;23;11;20;16;19;15;15;15
22;7;18;13;14;16;10;22;16;21;12;19;24;11;19;15;20;16;16
23;13;7;16;11;11;18;14;23;17;20;12;19;23;9;19;15;20;16
24;21;16;10;16;12;14;20;13;21;19;18;10;22;23;10;19;17;19
25;20;22;16;10;19;15;17;18;15;21;18;18;11;22;22;8;19;18
26;20;22;24;19;10;17;18;16;18;15;23;20;18;10;19;24;8;21
27;31;21;25;27;20;8;20;15;15;18;15;25;17;21;12;18;22;8
28;22;32;22;24;28;14;5;23;19;17;20;14;21;14;21;13;17;21
29;28;25;36;24;20;27;14;6;26;19;17;18;13;21;13;21;13;16
30;24;25;23;39;24;25;26;15;11;24;19;17;15;15;19;16;23;15
31;22;29;26;25;44;29;25;32;17;12;27;18;13;16;13;14;18;20
32;16;23;32;29;24;45;29;28;34;20;11;28;15;13;18;10;14;18
33;18;17;24;32;27;22;41;30;30;31;21;11;28;15;10;15;10;14
34;24;16;20;29;34;25;23;41;29;32;26;24;14;29;11;11;15;12
35;31;22;14;23;31;35;25;22;36;27;30;29;26;12;30;12;12;16
36;19;33;21;18;23;33;31;26;23;37;29;29;29;26;12;31;13;12
37;31;24;35;23;20;25;34;41;28;24;38;26;32;28;27;14;29;13
38;24;31;27;36;23;24;24;32;36;26;27;40;24;29;28;26;12;31
39;30;24;36;27;36;22;29;25;32;37;29;26;42;22;30;29;24;17
40;21;29;24;34;23;36;22;28;22;30;37;28;27;38;21;29;28;25
41;22;25;32;25;33;25;37;21;24;21;33;39;24;27;37;26;30;30
42;25;22;27;34;27;30;26;39;21;22;23;33;40;24;30;35;30;28
43;19;24;23;31;34;27;33;26;36;21;24;23;32;37;26;31;36;31
44;33;18;23;21;34;32;28;33;30;33;24;24;24;34;38;26;30;35
45;16;32;20;24;23;32;32;25;34;33;33;23;27;23;32;38;27;28
46;25;14;32;23;27;25;31;31;26;33;32;32;23;28;24;32;37;26
47;25;25;14;32;22;27;25;29;30;27;33;33;33;22;28;25;30;37
48;13;23;24;14;32;22;26;25;29;31;27;33;33;33;20;27;25;26
49;18;15;23;24;15;33;25;29;23;28;31;28;32;30;33;26;27;26
50;27;20;16;25;27;15;33;23;29;21;31;32;27;30;30;33;24;27
51;21;29;20;15;27;26;15;31;22;28;24;31;31;29;29;29;32;25
52;24;22;31;20;15;27;30;16;31;21;26;24;31;31;29;27;29;31
53;27;25;25;32;21;16;29;31;16;31;22;25;23;32;29;26;27;31
54;21;28;27;23;32;21;16;29;30;16;31;22;24;23;32;29;25;27
55;25;21;29;26;23;32;20;17;28;28;15;32;21;24;22;31;30;25
56;10;27;20;31;27;22;30;22;15;26;26;15;31;21;24;19;31;29
57;13;11;27;20;29;29;24;30;23;15;26;26;14;31;21;24;19;30
58;22;14;12;27;20;29;29;22;32;22;13;27;26;14;30;21;23;22
59;28;21;15;15;28;22;30;27;21;31;24;12;28;29;14;29;22;22
60;23;28;21;15;15;27;20;29;27;20;29;22;13;27;29;15;29;23
61;29;21;28;21;16;13;27;20;27;26;21;28;22;14;27;30;16;26
62;23;28;21;29;23;15;12;27;19;28;27;21;29;22;14;27;29;16
63;19;25;27;21;28;23;15;11;24;20;26;27;22;30;21;14;27;27
64;17;19;28;26;20;28;23;16;10;24;20;24;28;22;29;20;15;27
65;15;17;19;26;26;19;29;22;16;10;24;20;24;29;22;28;20;14
66;21;15;16;20;26;26;19;28;23;16;11;23;21;26;29;22;27;20
67;20;21;15;15;18;24;24;17;28;23;17;13;23;20;26;28;21;26
68;18;22;21;16;14;17;25;24;17;27;21;17;13;23;19;26;29;19
69;21;18;22;20;16;14;17;25;23;17;26;20;13;13;23;19;25;28
70;15;21;19;23;20;16;14;18;26;23;18;27;21;12;13;22;20;24
71;17;15;19;19;23;20;13;14;19;23;22;19;26;19;12;14;23;19
72;15;15;15;18;18;21;20;13;13;18;22;22;19;26;19;12;14;21
73;12;15;16;16;18;16;18;18;13;14;17;22;22;18;25;19;12;14
74;8;10;14;15;17;17;16;17;19;12;13;15;22;22;18;24;19;12
75;12;8;10;15;13;17;17;16;17;17;11;14;15;21;23;16;24;19
76;10;12;9;13;13;12;15;17;16;17;17;11;13;15;21;23;15;25
77;15;11;12;8;12;13;11;11;14;16;16;16;11;13;14;20;20;17
78;7;13;10;10;6;12;14;10;11;13;14;15;15;11;13;13;19;20
79;12;5;11;10;10;5;11;13;10;11;13;14;15;14;10;13;13;20
80;8;11;3;11;10;10;5;11;12;10;10;10;13;15;13;10;12;14
81;9;8;9;3;13;10;10;3;11;12;8;10;8;13;14;13;9;12
82;5;9;7;9;2;12;10;10;3;10;9;8;10;7;12;13;13;9
83;2;4;5;6;5;1;12;10;9;3;9;7;10;7;6;12;14;13
84;3;1;4;4;5;5;2;11;7;9;4;6;7;10;6;5;12;12
85;1;3;1;3;4;5;4;3;9;7;9;4;5;6;9;6;5;10
86;6;1;3;1;3;3;5;4;3;8;7;7;3;3;4;9;6;3
87;2;6;1;2;0;1;3;4;4;2;7;6;6;2;3;3;8;6
88;5;2;5;1;2;0;2;3;2;3;2;7;5;4;2;3;2;6
89;3;3;2;4;1;0;1;1;2;2;2;1;3;4;4;2;3;1
90;3;3;3;2;2;1;0;1;1;1;2;1;1;2;3;4;1;3
91;2;2;4;2;1;1;1;0;0;1;1;2;0;1;1;2;3;0
92;1;2;1;4;2;1;1;1;0;0;1;1;2;0;0;1;1;1
93;0;0;2;1;4;2;0;0;1;0;0;0;1;0;0;0;1;0
94;1;0;0;2;0;4;0;0;0;0;0;0;0;1;0;0;0;1
95;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
96;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;1482;1515;1565;1648;1673;1682;1711;1744;1738;1727;1751;1759;1751;1741;1722;1713;1699;1695
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;11;12;9;18;15;10;14;17;10;20;18;15;13;12;10;11;18;8
1;9;12;11;13;17;14;12;15;21;12;19;19;15;15;13;11;8;17
2;10;10;10;11;10;18;15;12;15;20;10;20;20;15;12;13;12;11
3;7;11;11;12;10;11;18;16;11;15;18;11;21;21;13;11;10;13
4;8;10;12;11;13;11;12;19;16;11;14;18;11;19;18;13;9;12
5;9;10;6;13;12;11;12;16;22;16;10;13;18;12;20;17;12;9
6;11;8;13;6;14;11;11;14;16;21;17;11;12;19;15;19;22;14
7;7;12;7;14;6;13;10;13;12;20;21;18;11;10;19;16;16;20
8;21;8;11;7;14;6;12;11;14;12;18;21;18;15;8;17;14;17
9;18;18;9;11;8;13;6;12;11;14;12;18;22;17;14;9;17;14
10;11;17;19;10;11;9;15;7;13;14;11;13;17;20;19;12;9;18
11;6;10;17;20;11;10;8;15;8;15;15;11;13;17;18;18;16;9
12;12;6;11;19;20;10;12;9;14;10;15;17;11;14;14;17;18;16
13;16;10;7;10;19;20;9;13;8;14;11;15;17;14;13;14;16;20
14;18;17;13;7;9;18;21;10;13;10;16;12;15;16;14;13;12;17
15;12;17;17;12;8;9;17;21;10;13;10;17;11;14;12;13;14;14
16;11;12;17;16;12;8;9;19;21;10;14;10;17;10;15;12;14;14
17;9;10;14;20;16;11;8;7;19;21;10;14;10;16;11;15;11;14
18;14;9;13;16;19;16;12;8;7;19;20;10;13;10;15;10;12;10
19;10;13;9;14;13;14;17;12;8;7;20;21;9;17;11;14;9;14
20;14;10;13;8;13;13;14;18;16;11;9;20;20;12;16;12;16;10
21;14;13;12;16;9;14;13;15;20;17;11;8;20;21;11;16;13;18
22;10;16;12;12;17;11;16;13;15;17;16;16;9;21;20;12;19;13
23;22;12;17;12;16;19;16;17;10;17;18;19;14;8;20;23;11;17
24;18;21;12;16;13;16;18;17;19;16;19;20;20;15;9;20;24;11
25;25;21;26;15;18;15;16;20;19;18;15;21;19;20;13;11;22;23
26;22;25;22;30;16;19;18;20;21;17;14;16;16;18;20;13;11;19
27;26;27;22;24;34;17;19;18;26;19;17;13;15;18;22;20;14;13
28;23;25;26;27;24;31;18;22;17;23;16;19;16;15;15;19;19;15
