"Popolazione per età, vista per singola area - Comune: 090075 - Tula"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Tula"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;14;20;11;15;15;6;9;16;10;22;17;9;13;22;8;9;11
1;18;14;14;21;10;15;15;7;9;16;9;22;17;9;12;22;8;9
2;13;18;15;14;20;10;15;15;9;9;14;8;21;17;10;12;21;8
3;12;13;18;16;15;19;10;17;15;9;10;13;7;20;18;11;12;20
4;23;12;12;18;15;15;19;9;17;15;9;11;12;7;20;18;12;12
5;17;23;12;12;19;15;15;19;8;17;15;9;11;12;8;20;17;12
6;13;17;24;12;12;19;15;15;19;8;18;16;8;11;12;8;20;17
7;14;13;17;24;12;10;19;15;15;19;8;18;16;8;11;12;8;19
8;10;12;12;17;24;12;10;19;15;15;20;8;18;17;8;11;11;8
9;16;11;12;12;18;23;13;11;20;13;15;20;8;18;17;8;11;11
10;18;16;11;12;11;18;23;13;9;20;13;15;21;9;18;17;8;11
11;9;18;16;11;11;10;19;23;13;9;19;13;16;21;9;18;17;8
12;16;9;18;16;12;11;10;18;24;13;8;19;13;15;21;9;18;17
13;9;18;9;18;16;12;12;10;17;24;13;9;19;13;15;21;10;18
14;23;9;19;9;18;16;11;12;10;15;23;13;8;19;13;15;22;11
15;17;23;9;19;9;18;17;11;12;10;15;23;13;8;19;13;15;21
16;30;17;23;9;19;10;18;16;11;11;11;16;23;12;8;19;13;14
17;14;30;17;23;9;19;10;18;16;10;11;11;16;23;12;8;19;13
18;28;14;30;17;23;9;19;11;18;15;10;11;11;15;23;12;7;19
19;22;26;14;30;18;23;9;18;10;18;15;9;11;12;15;23;12;7
20;16;22;27;14;29;18;23;8;17;12;18;16;9;12;12;16;22;12
21;20;17;22;26;14;27;19;23;9;17;12;17;17;7;12;13;16;22
22;27;18;17;23;26;12;28;17;25;9;17;12;17;17;7;12;13;15
23;30;29;20;15;24;26;12;28;15;26;9;16;12;18;17;8;12;12
24;18;27;30;20;17;25;26;12;30;15;26;9;16;12;17;16;10;12
25;29;19;28;27;21;17;26;26;12;28;14;26;9;15;13;18;15;10
26;26;28;20;28;27;23;17;26;25;11;26;14;25;9;18;9;17;15
27;27;26;28;20;27;26;24;18;26;23;11;27;14;25;9;18;9;15
28;23;27;28;30;20;27;25;25;19;24;23;11;26;14;24;10;16;9
29;21;23;26;29;31;18;28;24;26;20;24;22;11;25;13;22;10;14
30;29;23;21;24;28;30;19;29;24;28;21;24;22;10;26;16;23;10
31;14;28;26;20;22;27;29;19;27;24;28;21;24;23;10;25;15;22
32;31;13;28;24;18;19;28;29;19;27;25;28;20;23;23;9;25;14
33;21;31;12;26;23;21;18;26;29;19;28;24;27;19;21;23;8;25
34;27;21;26;12;25;22;20;17;23;27;18;29;24;28;21;22;24;7
35;26;26;20;25;11;27;20;20;16;23;26;17;27;23;27;21;23;23
36;34;25;24;22;26;13;28;21;19;17;25;25;15;26;22;27;20;23
37;25;34;24;22;21;26;14;24;22;19;17;24;23;15;28;22;25;20
38;21;25;34;26;24;19;26;13;24;22;19;17;22;24;18;27;21;25
39;31;22;23;34;26;24;21;28;13;23;21;18;17;22;24;15;26;20
40;12;30;22;24;34;26;23;21;27;13;24;21;19;17;23;23;15;26
41;28;13;32;22;27;33;27;25;21;28;14;25;20;17;17;24;22;15
42;16;29;13;31;22;27;33;27;24;21;27;14;25;20;17;16;23;22
43;21;15;29;13;32;22;25;34;27;24;21;27;14;23;20;17;17;24
44;26;23;16;29;14;32;22;25;33;27;23;22;25;14;22;20;18;18
45;26;27;23;16;28;14;32;21;24;33;27;23;23;25;16;22;19;18
46;19;28;26;23;17;27;12;32;20;25;33;27;23;23;25;15;21;18
47;15;19;28;26;23;16;29;12;32;19;24;31;27;23;23;24;14;19
48;18;15;20;29;26;22;15;29;11;32;19;24;30;27;23;23;25;13
49;17;16;15;19;29;27;21;15;29;11;32;20;24;31;27;23;22;25
50;24;17;16;17;19;29;27;20;15;29;11;32;19;24;31;27;22;22
51;20;24;17;16;18;19;28;25;20;16;29;11;33;19;24;32;26;21
52;14;22;24;19;17;16;19;28;25;20;16;28;11;32;19;24;32;26
53;24;14;22;24;19;18;15;19;28;24;20;16;28;11;32;19;24;33
54;16;24;14;22;24;19;19;14;17;28;24;19;17;27;11;32;19;24
55;15;16;24;15;21;24;19;18;14;16;28;24;20;16;27;10;32;19
56;20;15;15;24;14;21;25;19;18;14;15;29;24;21;16;27;10;31
57;17;20;15;15;24;16;21;24;19;18;14;16;28;23;21;16;27;10
58;18;17;20;14;16;24;18;22;24;20;18;16;16;28;24;21;16;27
59;17;18;17;20;14;16;24;18;22;24;20;18;16;17;28;25;21;15
60;19;17;17;18;21;16;16;24;18;20;24;19;18;16;17;28;25;19
61;22;18;18;17;18;22;16;18;24;18;21;22;18;18;16;17;27;25
62;19;22;17;18;17;18;22;16;18;24;18;20;21;18;18;16;17;27
63;16;19;21;16;18;16;17;22;16;19;24;18;22;21;18;18;16;17
64;18;16;19;20;17;18;17;14;22;16;18;24;18;22;21;18;18;15
65;21;18;16;19;19;17;18;17;14;21;16;18;24;18;21;21;18;18
66;19;21;18;15;19;19;14;18;17;14;21;16;19;24;18;21;21;19
67;19;22;19;18;15;18;21;14;18;17;14;20;15;19;24;18;18;21
68;22;19;24;19;18;15;18;21;14;18;16;14;20;15;19;24;18;18
69;22;22;18;24;18;16;15;18;20;15;17;16;14;20;15;18;24;17
70;17;22;21;18;24;18;16;15;18;20;15;17;16;15;20;15;18;23
71;22;18;22;19;17;23;16;16;15;18;19;15;17;15;15;19;14;18
72;15;20;18;21;20;17;23;17;15;15;19;19;15;17;14;16;20;13
73;20;15;20;18;21;18;17;21;18;15;14;18;19;14;17;13;15;20
74;17;20;15;20;18;20;18;16;20;18;14;13;18;19;14;16;13;15
75;18;16;18;15;20;16;17;16;16;21;18;13;13;18;19;15;15;13
76;17;18;17;18;15;20;15;15;16;15;21;16;13;12;18;19;13;14
77;17;16;18;16;17;15;20;15;14;16;15;21;17;13;12;18;19;12
78;14;16;16;18;16;16;15;19;15;14;15;15;21;16;13;12;17;19
79;10;13;15;16;16;16;14;15;20;15;12;15;13;21;16;13;11;17
80;10;11;12;14;15;15;13;14;15;19;14;11;15;11;21;15;12;12
81;11;9;11;11;14;14;14;12;13;13;18;13;11;15;11;21;15;11
82;7;10;8;11;10;15;14;17;13;13;13;17;12;9;15;11;21;15
83;6;6;10;7;9;9;14;13;14;13;13;12;13;12;9;15;10;18
84;8;7;6;9;8;9;9;14;11;12;13;12;12;10;10;8;15;10
85;4;8;8;6;8;9;9;9;14;9;11;10;11;11;10;10;8;13
86;4;3;6;8;4;8;8;9;9;11;9;11;9;9;11;9;9;6
87;7;4;1;4;6;4;7;6;9;9;9;8;8;9;9;12;8;8
88;6;5;3;1;4;4;4;6;4;9;9;7;6;8;8;8;8;7
89;6;5;4;4;1;4;1;3;6;4;7;8;5;5;6;6;7;8
90;5;5;4;4;4;1;3;1;3;4;3;3;6;5;5;6;6;7
91;4;4;5;3;4;4;1;3;0;3;3;3;2;6;4;5;6;5
92;4;2;2;3;3;3;3;1;3;0;2;3;3;2;6;4;4;5
93;0;3;0;0;2;1;1;2;1;1;0;2;3;2;2;6;3;4
94;1;0;2;0;0;2;1;0;1;1;1;0;1;2;1;2;3;1
95;1;0;0;2;0;0;1;1;0;0;1;0;0;1;2;1;2;3
96;1;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;2
97;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
98;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1
99;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1
100 e oltre;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0
Totale;1664;1666;1666;1658;1662;1650;1638;1626;1619;1603;1603;1592;1567;1553;1576;1571;1541;1514
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;7;8;11;7;8;6;5;4;9;6;14;7;6;6;8;6;6;5
1;9;7;8;11;7;8;6;6;4;9;6;14;7;6;6;8;6;6
2;4;9;8;8;11;7;8;6;7;4;8;5;14;7;7;6;8;6
3;8;4;9;9;9;10;6;8;6;7;5;7;5;13;7;8;6;7
4;9;8;5;9;9;9;10;5;8;6;7;6;6;5;13;7;8;6
5;10;9;8;5;9;9;9;10;4;8;5;7;6;6;6;13;6;8
6;6;10;9;8;5;9;9;9;10;4;9;6;6;6;6;6;13;6
7;6;6;10;9;8;5;9;9;9;10;4;9;6;6;6;6;6;13
8;7;6;6;10;9;8;5;9;9;9;10;4;9;7;6;6;6;6
9;8;8;6;6;10;8;8;5;10;7;9;10;4;9;7;6;6;6
10;9;8;8;6;5;10;8;8;4;10;7;9;10;5;9;7;6;6
11;4;9;8;8;5;5;10;8;8;4;10;7;9;10;5;9;7;6
12;8;4;9;8;8;5;5;10;8;8;3;10;7;9;10;5;9;7
13;5;10;4;9;8;8;6;5;10;8;8;4;10;7;9;10;5;9
14;14;5;11;4;9;8;8;6;5;10;8;8;3;10;7;9;11;6
15;10;14;5;11;4;8;8;8;6;5;10;8;8;3;10;7;9;10
16;15;10;14;5;11;4;8;7;8;5;6;10;8;7;3;10;7;9
17;6;15;10;14;5;11;4;8;7;7;5;6;10;8;7;3;10;7
18;15;6;15;10;14;5;11;4;8;7;7;5;6;10;8;7;2;10
19;12;13;6;15;10;14;5;10;4;8;7;6;5;7;10;8;7;2
20;11;12;14;6;15;10;14;4;9;4;8;7;6;6;7;10;8;7
21;11;12;12;13;6;13;10;14;5;9;4;8;7;4;6;8;10;8
22;14;9;11;13;13;6;13;10;14;5;9;4;8;7;4;6;8;10
23;18;14;10;9;13;13;6;13;9;15;5;8;4;8;7;5;6;7
24;9;16;15;10;9;13;13;6;14;9;15;5;9;4;7;7;7;6
25;20;9;17;14;11;9;14;13;6;14;9;15;5;8;4;7;7;7
26;13;19;10;17;14;13;10;14;13;6;13;9;15;5;9;4;7;7
27;8;12;19;9;16;14;14;10;14;12;6;14;9;15;5;9;4;7
28;14;8;12;20;9;16;13;15;12;12;12;6;12;9;14;5;7;4
29;7;14;8;13;21;9;17;12;15;12;12;11;6;11;8;13;5;6
30;13;9;13;8;13;20;9;18;12;16;13;12;11;5;12;8;12;5
31;5;13;10;13;8;12;19;9;18;12;16;13;12;11;5;12;7;11
32;7;5;13;9;12;7;15;19;10;18;12;16;13;11;11;4;12;7
33;9;8;5;13;10;14;7;13;19;10;20;11;16;13;9;12;3;12
34;14;11;7;5;12;8;12;7;12;18;9;20;12;17;14;10;13;3
35;9;14;9;7;5;13;8;11;6;12;18;9;19;12;16;13;10;13
36;20;9;13;9;8;6;14;8;11;6;14;17;8;19;12;15;14;10
37;15;20;8;13;9;8;6;11;8;11;6;13;15;9;21;13;13;14
38;12;15;20;9;15;9;8;5;11;9;11;6;12;16;11;19;12;13
39;15;12;14;20;9;15;9;8;3;10;9;11;6;12;16;9;18;11
40;4;14;12;14;20;9;14;9;8;3;11;9;12;6;12;15;9;18
41;15;5;15;12;17;19;9;14;9;8;4;12;9;10;7;13;14;9
42;5;15;5;14;12;17;19;9;15;9;8;4;12;9;10;7;12;14
43;10;5;15;5;15;12;15;20;9;15;8;8;4;12;9;10;8;12
44;16;12;6;15;5;15;12;15;19;9;15;8;8;4;12;9;10;9
45;18;17;12;6;15;5;15;12;14;19;9;15;9;8;5;12;9;10
46;11;20;17;12;6;14;5;15;12;14;20;9;15;9;8;4;11;9
47;8;11;20;17;12;5;15;5;15;12;13;19;9;15;9;8;4;9
48;12;8;12;20;17;11;5;15;5;15;12;13;18;9;15;9;8;4
49;10;11;8;11;20;18;11;5;15;5;15;13;13;18;9;15;8;8
50;16;10;11;8;11;20;18;10;5;15;5;15;12;13;18;9;14;8
51;12;16;10;11;9;11;19;16;10;6;15;5;15;12;13;19;9;13
52;5;13;16;12;11;8;11;19;16;10;6;15;5;15;12;13;19;9
53;14;5;13;16;12;11;7;11;19;15;10;6;15;5;15;12;13;20
54;9;14;5;13;16;12;12;6;9;19;15;10;6;15;5;15;12;13
55;7;9;14;6;13;16;12;12;6;8;19;15;10;7;15;4;15;12
56;8;7;9;14;5;13;16;12;12;6;8;19;14;11;7;15;4;15
57;10;8;7;9;14;5;13;16;12;12;6;8;18;13;11;7;15;4
58;8;10;8;7;10;14;7;13;16;12;12;8;8;18;14;11;7;15
59;9;8;10;8;7;10;14;7;13;16;12;12;8;9;18;15;11;6
60;7;9;8;10;8;9;10;14;7;12;16;12;12;8;9;18;14;10
61;8;7;9;8;10;8;9;11;14;6;12;14;12;12;8;9;18;14
62;12;8;7;9;8;10;8;8;11;14;6;12;12;12;12;8;9;18
63;3;12;7;7;9;8;9;8;8;11;14;6;12;12;12;12;8;9
64;13;3;12;6;7;9;8;7;8;8;10;14;6;12;12;12;12;8
65;9;13;3;12;5;7;9;8;7;7;8;10;14;6;11;12;12;12
66;8;9;13;3;12;5;5;9;8;7;7;8;11;14;6;11;12;12
67;7;9;9;13;3;11;5;5;9;8;7;7;7;11;14;6;9;12
68;12;7;11;9;13;3;11;5;5;9;8;7;7;7;11;14;6;10
69;8;12;6;11;8;11;3;11;5;6;8;8;7;7;7;10;13;6
70;7;8;12;6;11;8;11;3;11;5;6;8;8;8;7;7;10;13
71;15;8;8;11;5;10;6;11;3;11;5;6;8;7;8;7;6;10
72;9;13;8;7;12;5;10;7;10;3;12;5;6;8;7;8;8;6
73;7;9;13;8;7;9;5;8;8;10;3;11;5;6;8;6;7;8
74;12;7;9;13;8;6;9;7;7;8;10;2;11;5;6;7;6;7
75;6;11;5;9;13;8;6;7;7;6;8;10;2;11;5;6;6;6
76;6;6;11;5;9;13;7;4;7;7;6;7;10;2;11;5;6;6
77;7;5;6;10;5;9;13;7;3;7;7;6;7;10;2;11;5;5
78;8;7;5;6;10;5;9;13;7;3;7;7;6;7;10;2;10;5
79;6;9;5;5;4;10;4;9;14;7;2;7;5;6;7;10;2;10
80;4;6;8;5;4;4;8;4;9;13;7;2;7;3;6;6;9;3
81;5;3;6;7;5;3;4;7;4;8;12;7;2;7;3;6;6;8
82;2;4;2;6;6;6;3;6;8;4;8;11;7;1;7;3;6;6
83;2;1;4;1;5;5;5;2;4;8;3;7;8;7;1;8;2;5
84;3;2;1;3;1;5;5;5;1;3;8;2;7;7;4;1;8;2
85;3;3;2;1;3;2;5;5;6;1;3;7;2;7;7;4;1;6
86;3;2;3;2;1;3;2;5;5;6;1;3;6;2;7;7;4;1
87;3;3;0;2;2;1;3;2;5;5;5;1;2;6;2;7;7;4
88;2;2;2;0;2;2;1;2;1;5;5;3;0;2;5;2;4;6
89;3;2;2;2;0;2;0;1;2;1;4;4;1;0;2;4;1;4
90;4;3;2;2;2;0;1;0;1;1;1;2;4;1;0;2;4;1
91;2;4;3;2;2;2;0;1;0;1;1;1;1;4;1;0;2;4
92;0;1;2;2;2;1;1;0;1;0;1;1;1;1;4;1;0;2
93;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;4;1;0
94;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;3;1
95;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;3
96;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
97;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Totale;829;836;839;835;842;832;826;811;813;803;815;806;788;787;795;795;777;770
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;6;6;9;4;7;9;1;5;7;4;8;10;3;7;14;2;3;6
1;9;7;6;10;3;7;9;1;5;7;3;8;10;3;6;14;2;3
2;9;9;7;6;9;3;7;9;2;5;6;3;7;10;3;6;13;2
3;4;9;9;7;6;9;4;9;9;2;5;6;2;7;11;3;6;13
4;14;4;7;9;6;6;9;4;9;9;2;5;6;2;7;11;4;6
